user_id,abstract_words,count,ranking
00978fd7932aba20779192a3e7f6f826,molecular,11,8
00978fd7932aba20779192a3e7f6f826,model,11,9
00978fd7932aba20779192a3e7f6f826,complex,10,10
009c7b85cc059455877310c20e9e5880,spanish,7,1
009c7b85cc059455877310c20e9e5880,endurance,5,2
009c7b85cc059455877310c20e9e5880,polygenic,4,3
009c7b85cc059455877310c20e9e5880,polymorphisms,4,4
009c7b85cc059455877310c20e9e5880,profile,4,5
009c7b85cc059455877310c20e9e5880,optimal,3,6
009c7b85cc059455877310c20e9e5880,score,3,7
009c7b85cc059455877310c20e9e5880,genetic,3,8
009c7b85cc059455877310c20e9e5880,athlete,3,9
009c7b85cc059455877310c20e9e5880,individuals,3,10
00a36fc288775531883c4cc439a8a370,growth,4,1
00a36fc288775531883c4cc439a8a370,nanostructures,4,2
00a36fc288775531883c4cc439a8a370,vi,4,3
00a36fc288775531883c4cc439a8a370,qds,3,4
00a36fc288775531883c4cc439a8a370,selenide,3,5
00a36fc288775531883c4cc439a8a370,methods,3,6
00a36fc288775531883c4cc439a8a370,iv,3,7
00a36fc288775531883c4cc439a8a370,article,3,8
00a36fc288775531883c4cc439a8a370,based,3,9
00a36fc288775531883c4cc439a8a370,qd,3,10
00c4d8441ecdb730a6a9a06dcf42443a,similarity,6,1
00c4d8441ecdb730a6a9a06dcf42443a,context,5,2
00c4d8441ecdb730a6a9a06dcf42443a,geographic,4,3
00c4d8441ecdb730a6a9a06dcf42443a,measurement,4,4
00c4d8441ecdb730a6a9a06dcf42443a,existing,3,5
00c4d8441ecdb730a6a9a06dcf42443a,based,3,6
00c4d8441ecdb730a6a9a06dcf42443a,create,3,7
00c4d8441ecdb730a6a9a06dcf42443a,phenomenon,2,8
00c4d8441ecdb730a6a9a06dcf42443a,information,2,9
00c4d8441ecdb730a6a9a06dcf42443a,list,2,10
00ccb3bc3b440f3cfb70865ea2e225ef,control,6,1
00ccb3bc3b440f3cfb70865ea2e225ef,work,6,2
00ccb3bc3b440f3cfb70865ea2e225ef,call,5,3
00ccb3bc3b440f3cfb70865ea2e225ef,article,4,4
00ccb3bc3b440f3cfb70865ea2e225ef,resistance,4,5
00ccb3bc3b440f3cfb70865ea2e225ef,crowdsourcing,4,6
00ccb3bc3b440f3cfb70865ea2e225ef,research,3,7
00ccb3bc3b440f3cfb70865ea2e225ef,production,3,8
00ccb3bc3b440f3cfb70865ea2e225ef,quantitative,3,9
00ccb3bc3b440f3cfb70865ea2e225ef,organization,3,10
00e5376f2b347e3d56a765cc7b4bbf84,gromacs,5,1
00e5376f2b347e3d56a765cc7b4bbf84,molecular,5,2
00e5376f2b347e3d56a765cc7b4bbf84,large,3,3
00e5376f2b347e3d56a765cc7b4bbf84,tools,3,4
00e5376f2b347e3d56a765cc7b4bbf84,conditions,3,5
00e5376f2b347e3d56a765cc7b4bbf84,md,3,6
00e5376f2b347e3d56a765cc7b4bbf84,systems,3,7
00e5376f2b347e3d56a765cc7b4bbf84,temperature,3,8
00e5376f2b347e3d56a765cc7b4bbf84,loops,3,9
00e5376f2b347e3d56a765cc7b4bbf84,trajectory,3,10
00ebe0eb5fd1a2b6cba74ab99f444eb6,urban,11,1
00ebe0eb5fd1a2b6cba74ab99f444eb6,models,9,2
00ebe0eb5fd1a2b6cba74ab99f444eb6,segregation,9,3
00ebe0eb5fd1a2b6cba74ab99f444eb6,agent,6,4
00ebe0eb5fd1a2b6cba74ab99f444eb6,masus,6,5
00ebe0eb5fd1a2b6cba74ab99f444eb6,based,6,6
00ebe0eb5fd1a2b6cba74ab99f444eb6,complexity,5,7
00ebe0eb5fd1a2b6cba74ab99f444eb6,systems,5,8
00ebe0eb5fd1a2b6cba74ab99f444eb6,cities,4,9
00ebe0eb5fd1a2b6cba74ab99f444eb6,bottom,4,10
00f15b6d824b75f9c666837e74e548e5,location,9,1
00f15b6d824b75f9c666837e74e548e5,games,7,2
00f15b6d824b75f9c666837e74e548e5,mobile,5,3
00f15b6d824b75f9c666837e74e548e5,gps,5,4
00f15b6d824b75f9c666837e74e548e5,world,5,5
00f15b6d824b75f9c666837e74e548e5,show,4,6
00f15b6d824b75f9c666837e74e548e5,real,4,7
00f15b6d824b75f9c666837e74e548e5,pervasive,3,8
00f15b6d824b75f9c666837e74e548e5,gaming,3,9
00f15b6d824b75f9c666837e74e548e5,system,3,10
011f24d27dc4e8a75f927976d7ddeffc,microbial,32,1
011f24d27dc4e8a75f927976d7ddeffc,diversity,15,2
011f24d27dc4e8a75f927976d7ddeffc,communities,15,3
011f24d27dc4e8a75f927976d7ddeffc,microbiome,14,4
011f24d27dc4e8a75f927976d7ddeffc,data,13,5
011f24d27dc4e8a75f927976d7ddeffc,aiec,13,6
011f24d27dc4e8a75f927976d7ddeffc,microbiomes,12,7
011f24d27dc4e8a75f927976d7ddeffc,species,11,8
011f24d27dc4e8a75f927976d7ddeffc,gene,11,9
011f24d27dc4e8a75f927976d7ddeffc,differences,10,10
013bb58aa3cefe54411970d4ad096d3e,query,46,1
013bb58aa3cefe54411970d4ad096d3e,retrieval,33,2
013bb58aa3cefe54411970d4ad096d3e,document,24,3
013bb58aa3cefe54411970d4ad096d3e,term,22,4
013bb58aa3cefe54411970d4ad096d3e,effectiveness,21,5
013bb58aa3cefe54411970d4ad096d3e,index,21,6
013bb58aa3cefe54411970d4ad096d3e,documents,21,7
013bb58aa3cefe54411970d4ad096d3e,expansion,20,8
013bb58aa3cefe54411970d4ad096d3e,techniques,19,9
013bb58aa3cefe54411970d4ad096d3e,queries,19,10
014d7e9626e988e4ab7e2165936fe3f7,human,5,1
014d7e9626e988e4ab7e2165936fe3f7,evaluations,3,2
014d7e9626e988e4ab7e2165936fe3f7,method,2,3
014d7e9626e988e4ab7e2165936fe3f7,machine,2,4
014d7e9626e988e4ab7e2165936fe3f7,quick,2,5
014d7e9626e988e4ab7e2165936fe3f7,evaluation,2,6
014d7e9626e988e4ab7e2165936fe3f7,translation,2,7
014d7e9626e988e4ab7e2165936fe3f7,inexpensive,1,8
014d7e9626e988e4ab7e2165936fe3f7,months,1,9
014d7e9626e988e4ab7e2165936fe3f7,reused,1,10
0173c7aaf7c38fcb1b6540ff4ad467f4,principles,4,1
0173c7aaf7c38fcb1b6540ff4ad467f4,sustainable,4,2
0173c7aaf7c38fcb1b6540ff4ad467f4,conventional,3,3
0173c7aaf7c38fcb1b6540ff4ad467f4,community,3,4
0173c7aaf7c38fcb1b6540ff4ad467f4,urban,3,5
0173c7aaf7c38fcb1b6540ff4ad467f4,urbanism,3,6
0173c7aaf7c38fcb1b6540ff4ad467f4,generative,3,7
0173c7aaf7c38fcb1b6540ff4ad467f4,form,3,8
0173c7aaf7c38fcb1b6540ff4ad467f4,pacoima,2,9
0173c7aaf7c38fcb1b6540ff4ad467f4,language,2,10
01765d5ab5729673c0faedfed74ec54e,concussion,23,1
01765d5ab5729673c0faedfed74ec54e,injury,14,2
01765d5ab5729673c0faedfed74ec54e,players,12,3
01765d5ab5729673c0faedfed74ec54e,concussions,11,4
01765d5ab5729673c0faedfed74ec54e,previous,10,5
01765d5ab5729673c0faedfed74ec54e,impact,9,6
01765d5ab5729673c0faedfed74ec54e,history,8,7
01765d5ab5729673c0faedfed74ec54e,cognitive,7,8
01765d5ab5729673c0faedfed74ec54e,symptoms,7,9
01765d5ab5729673c0faedfed74ec54e,mtbi,6,10
0195aa4d20edadb82aaaa851ef206196,ltp,11,1
0195aa4d20edadb82aaaa851ef206196,ige,9,2
0195aa4d20edadb82aaaa851ef206196,reactivity,8,3
0195aa4d20edadb82aaaa851ef206196,sensitization,6,4
0195aa4d20edadb82aaaa851ef206196,methylation,6,5
0195aa4d20edadb82aaaa851ef206196,ltps,6,6
0195aa4d20edadb82aaaa851ef206196,cross,6,7
0195aa4d20edadb82aaaa851ef206196,patients,5,8
0195aa4d20edadb82aaaa851ef206196,api,5,9
0195aa4d20edadb82aaaa851ef206196,dna,5,10
01aaac843fa7ec837c37c816b4b032eb,models,38,1
01aaac843fa7ec837c37c816b4b032eb,based,28,2
01aaac843fa7ec837c37c816b4b032eb,individual,23,3
01aaac843fa7ec837c37c816b4b032eb,software,17,4
01aaac843fa7ec837c37c816b4b032eb,ibms,17,5
01aaac843fa7ec837c37c816b4b032eb,model,16,6
01aaac843fa7ec837c37c816b4b032eb,systems,15,7
01aaac843fa7ec837c37c816b4b032eb,biodiesel,15,8
01aaac843fa7ec837c37c816b4b032eb,complex,14,9
01aaac843fa7ec837c37c816b4b032eb,economic,14,10
01b6b4bdb1a61553e4267101a044a320,sciences,3,1
01b6b4bdb1a61553e4267101a044a320,machines,2,2
01b6b4bdb1a61553e4267101a044a320,author,2,3
01b6b4bdb1a61553e4267101a044a320,human,2,4
01b6b4bdb1a61553e4267101a044a320,enlivening,1,5
01b6b4bdb1a61553e4267101a044a320,machine,1,6
01b6b4bdb1a61553e4267101a044a320,inevitable,1,7
01b6b4bdb1a61553e4267101a044a320,promised,1,8
01b6b4bdb1a61553e4267101a044a320,figured,1,9
01b6b4bdb1a61553e4267101a044a320,scholarship,1,10
01c256cc9b1831866b5aa776d625ba71,topics,3,1
01c256cc9b1831866b5aa776d625ba71,software,2,2
01c256cc9b1831866b5aa776d625ba71,emphasis,2,3
01c256cc9b1831866b5aa776d625ba71,material,1,4
01c256cc9b1831866b5aa776d625ba71,professionals,1,5
01c256cc9b1831866b5aa776d625ba71,mathematics,1,6
01c256cc9b1831866b5aa776d625ba71,study,1,7
01c256cc9b1831866b5aa776d625ba71,describe,1,8
01c256cc9b1831866b5aa776d625ba71,changed,1,9
01c256cc9b1831866b5aa776d625ba71,university,1,10
01daadd3b5e79434584b7bc51dbd4dde,video,82,1
01daadd3b5e79434584b7bc51dbd4dde,content,32,2
01daadd3b5e79434584b7bc51dbd4dde,annotation,27,3
01daadd3b5e79434584b7bc51dbd4dde,based,27,4
01daadd3b5e79434584b7bc51dbd4dde,information,25,5
01daadd3b5e79434584b7bc51dbd4dde,data,24,6
01daadd3b5e79434584b7bc51dbd4dde,model,23,7
01daadd3b5e79434584b7bc51dbd4dde,system,23,8
01daadd3b5e79434584b7bc51dbd4dde,user,21,9
01daadd3b5e79434584b7bc51dbd4dde,retrieval,19,10
01db4fd72ca336093e9f9d0f5d2eebe5,knowledge,29,1
01db4fd72ca336093e9f9d0f5d2eebe5,systems,26,2
01db4fd72ca336093e9f9d0f5d2eebe5,care,21,3
01db4fd72ca336093e9f9d0f5d2eebe5,system,21,4
01db4fd72ca336093e9f9d0f5d2eebe5,complex,19,5
01db4fd72ca336093e9f9d0f5d2eebe5,health,19,6
01db4fd72ca336093e9f9d0f5d2eebe5,management,15,7
01db4fd72ca336093e9f9d0f5d2eebe5,research,15,8
01db4fd72ca336093e9f9d0f5d2eebe5,behaviour,15,9
01db4fd72ca336093e9f9d0f5d2eebe5,library,14,10
01e6d9c096208962d6392d2d3313d0b2,wireless,27,1
01e6d9c096208962d6392d2d3313d0b2,interference,14,2
01e6d9c096208962d6392d2d3313d0b2,channel,13,3
01e6d9c096208962d6392d2d3313d0b2,network,13,4
01e6d9c096208962d6392d2d3313d0b2,carrier,12,5
01e6d9c096208962d6392d2d3313d0b2,ieee,11,6
01e6d9c096208962d6392d2d3313d0b2,networks,10,7
01e6d9c096208962d6392d2d3313d0b2,paper,10,8
01e6d9c096208962d6392d2d3313d0b2,results,10,9
01e6d9c096208962d6392d2d3313d0b2,sense,9,10
01ecfc66d01b0dd84baea257cac82fce,life,5,1
01ecfc66d01b0dd84baea257cac82fce,behavior,4,2
01ecfc66d01b0dd84baea257cac82fce,properties,4,3
01ecfc66d01b0dd84baea257cac82fce,artificial,4,4
01ecfc66d01b0dd84baea257cac82fce,motion,4,5
01ecfc66d01b0dd84baea257cac82fce,essential,3,6
01ecfc66d01b0dd84baea257cac82fce,driven,3,7
01ecfc66d01b0dd84baea257cac82fce,theoretical,3,8
01ecfc66d01b0dd84baea257cac82fce,experimental,3,9
01ecfc66d01b0dd84baea257cac82fce,models,3,10
01f88f4baca3174d81f3ee3de3be7212,shape,15,1
01f88f4baca3174d81f3ee3de3be7212,object,11,2
01f88f4baca3174d81f3ee3de3be7212,based,10,3
01f88f4baca3174d81f3ee3de3be7212,models,10,4
01f88f4baca3174d81f3ee3de3be7212,fourier,8,5
01f88f4baca3174d81f3ee3de3be7212,hull,8,6
01f88f4baca3174d81f3ee3de3be7212,matching,8,7
01f88f4baca3174d81f3ee3de3be7212,visual,7,8
01f88f4baca3174d81f3ee3de3be7212,paper,7,9
01f88f4baca3174d81f3ee3de3be7212,algorithms,7,10
02108d6856e35e90b3a4a0ab51e52aa5,ocean,24,1
02108d6856e35e90b3a4a0ab51e52aa5,circulation,16,2
02108d6856e35e90b3a4a0ab51e52aa5,variability,14,3
02108d6856e35e90b3a4a0ab51e52aa5,surface,14,4
02108d6856e35e90b3a4a0ab51e52aa5,atlantic,11,5
02108d6856e35e90b3a4a0ab51e52aa5,interannual,10,6
02108d6856e35e90b3a4a0ab51e52aa5,moc,10,7
02108d6856e35e90b3a4a0ab51e52aa5,transport,10,8
02108d6856e35e90b3a4a0ab51e52aa5,deep,9,9
02108d6856e35e90b3a4a0ab51e52aa5,wind,9,10
02233d715c5ef3ba0b4abf888188f471,social,13,1
02233d715c5ef3ba0b4abf888188f471,disability,11,2
02233d715c5ef3ba0b4abf888188f471,studies,7,3
02233d715c5ef3ba0b4abf888188f471,research,7,4
02233d715c5ef3ba0b4abf888188f471,students,7,5
02233d715c5ef3ba0b4abf888188f471,narrative,6,6
02233d715c5ef3ba0b4abf888188f471,analysis,6,7
02233d715c5ef3ba0b4abf888188f471,university,6,8
02233d715c5ef3ba0b4abf888188f471,care,6,9
02233d715c5ef3ba0b4abf888188f471,critical,6,10
022c229e88dc20c8302d46f9748a857d,algorithms,4,1
022c229e88dc20c8302d46f9748a857d,text,3,2
022c229e88dc20c8302d46f9748a857d,profiles,2,3
022c229e88dc20c8302d46f9748a857d,present,2,4
022c229e88dc20c8302d46f9748a857d,topics,2,5
022c229e88dc20c8302d46f9748a857d,ranked,2,6
022c229e88dc20c8302d46f9748a857d,mining,2,7
022c229e88dc20c8302d46f9748a857d,collection,1,8
022c229e88dc20c8302d46f9748a857d,discoveries,1,9
022c229e88dc20c8302d46f9748a857d,swanson,1,10
022e8a198e27faeb8319f8f2d9a73945,research,8,1
022e8a198e27faeb8319f8f2d9a73945,communication,7,2
022e8a198e27faeb8319f8f2d9a73945,media,6,3
022e8a198e27faeb8319f8f2d9a73945,design,6,4
022e8a198e27faeb8319f8f2d9a73945,social,6,5
022e8a198e27faeb8319f8f2d9a73945,interaction,5,6
022e8a198e27faeb8319f8f2d9a73945,relational,4,7
022e8a198e27faeb8319f8f2d9a73945,teenagers,4,8
022e8a198e27faeb8319f8f2d9a73945,heidegger,4,9
022e8a198e27faeb8319f8f2d9a73945,mediated,3,10
023f0ba895999d753350c2acdd7040f6,user,3,1
023f0ba895999d753350c2acdd7040f6,bayesian,2,2
023f0ba895999d753350c2acdd7040f6,models,2,3
023f0ba895999d753350c2acdd7040f6,users,2,4
023f0ba895999d753350c2acdd7040f6,computer,2,5
023f0ba895999d753350c2acdd7040f6,queries,2,6
023f0ba895999d753350c2acdd7040f6,actions,2,7
023f0ba895999d753350c2acdd7040f6,including,1,8
023f0ba895999d753350c2acdd7040f6,harnessing,1,9
023f0ba895999d753350c2acdd7040f6,research,1,10
02445ee8ff1700b7f91070e98e343ade,crowdsourcing,8,1
02445ee8ff1700b7f91070e98e343ade,study,7,2
02445ee8ff1700b7f91070e98e343ade,security,7,3
02445ee8ff1700b7f91070e98e343ade,data,7,4
02445ee8ff1700b7f91070e98e343ade,user,7,5
02445ee8ff1700b7f91070e98e343ade,users,6,6
02445ee8ff1700b7f91070e98e343ade,content,6,7
02445ee8ff1700b7f91070e98e343ade,people,6,8
02445ee8ff1700b7f91070e98e343ade,geospatial,6,9
02445ee8ff1700b7f91070e98e343ade,elderly,6,10
024b2d5d14805d24c69b4636df299e93,set,4,1
024b2d5d14805d24c69b4636df299e93,probability,4,2
024b2d5d14805d24c69b4636df299e93,distributions,2,3
024b2d5d14805d24c69b4636df299e93,exchangeable,1,4
024b2d5d14805d24c69b4636df299e93,increase,1,5
024b2d5d14805d24c69b4636df299e93,order,1,6
024b2d5d14805d24c69b4636df299e93,approximations,1,7
024b2d5d14805d24c69b4636df299e93,limit,1,8
024b2d5d14805d24c69b4636df299e93,suitable,1,9
024b2d5d14805d24c69b4636df299e93,problems,1,10
027234f37132e1c9abbec5cc5d54ac52,patients,31,1
027234f37132e1c9abbec5cc5d54ac52,risk,22,2
027234f37132e1c9abbec5cc5d54ac52,renal,19,3
027234f37132e1c9abbec5cc5d54ac52,septicemia,13,4
027234f37132e1c9abbec5cc5d54ac52,mortality,12,5
027234f37132e1c9abbec5cc5d54ac52,death,10,6
027234f37132e1c9abbec5cc5d54ac52,rr,10,7
027234f37132e1c9abbec5cc5d54ac52,loss,9,8
027234f37132e1c9abbec5cc5d54ac52,internet,9,9
027234f37132e1c9abbec5cc5d54ac52,based,9,10
02814c882c0021888cd33bd54aae416f,fuzzy,4,1
02814c882c0021888cd33bd54aae416f,sets,4,2
02814c882c0021888cd33bd54aae416f,membership,3,3
02814c882c0021888cd33bd54aae416f,notions,2,4
02814c882c0021888cd33bd54aae416f,set,2,5
02814c882c0021888cd33bd54aae416f,established,1,6
02814c882c0021888cd33bd54aae416f,separation,1,7
02814c882c0021888cd33bd54aae416f,extended,1,8
02814c882c0021888cd33bd54aae416f,theorem,1,9
02814c882c0021888cd33bd54aae416f,union,1,10
0288298246b5d8d852f4f28878db0e77,cell,27,1
0288298246b5d8d852f4f28878db0e77,cells,27,2
0288298246b5d8d852f4f28878db0e77,microfluidic,19,3
0288298246b5d8d852f4f28878db0e77,single,16,4
0288298246b5d8d852f4f28878db0e77,protein,15,5
0288298246b5d8d852f4f28878db0e77,expression,13,6
0288298246b5d8d852f4f28878db0e77,gene,13,7
0288298246b5d8d852f4f28878db0e77,time,13,8
0288298246b5d8d852f4f28878db0e77,response,12,9
0288298246b5d8d852f4f28878db0e77,devices,9,10
02a3794d2acaae71b1b57b1f75b14c44,ozone,14,1
02a3794d2acaae71b1b57b1f75b14c44,exposure,9,2
02a3794d2acaae71b1b57b1f75b14c44,asthma,8,3
02a3794d2acaae71b1b57b1f75b14c44,cardiovascular,8,4
02a3794d2acaae71b1b57b1f75b14c44,trp,7,5
02a3794d2acaae71b1b57b1f75b14c44,parental,6,6
02a3794d2acaae71b1b57b1f75b14c44,stress,6,7
02a3794d2acaae71b1b57b1f75b14c44,mortality,6,8
02a3794d2acaae71b1b57b1f75b14c44,children,5,9
02a3794d2acaae71b1b57b1f75b14c44,smoke,5,10
02b168e1e6e44078f0387392143d6610,model,9,1
02b168e1e6e44078f0387392143d6610,multiple,4,2
02b168e1e6e44078f0387392143d6610,general,4,3
02b168e1e6e44078f0387392143d6610,results,3,4
02b168e1e6e44078f0387392143d6610,problems,3,5
02b168e1e6e44078f0387392143d6610,design,3,6
02b168e1e6e44078f0387392143d6610,approach,2,7
02b168e1e6e44078f0387392143d6610,minimizing,2,8
02b168e1e6e44078f0387392143d6610,mm,2,9
02b168e1e6e44078f0387392143d6610,set,2,10
02b3f1a1ab9b64de2f656c836094e33e,science,8,1
02b3f1a1ab9b64de2f656c836094e33e,women,8,2
02b3f1a1ab9b64de2f656c836094e33e,engineering,7,3
02b3f1a1ab9b64de2f656c836094e33e,men,4,4
02b3f1a1ab9b64de2f656c836094e33e,outnumber,2,5
02b3f1a1ab9b64de2f656c836094e33e,research,2,6
02b3f1a1ab9b64de2f656c836094e33e,college,2,7
02b3f1a1ab9b64de2f656c836094e33e,fund,2,8
02b3f1a1ab9b64de2f656c836094e33e,boys,2,9
02b3f1a1ab9b64de2f656c836094e33e,representation,2,10
02d12db6a32fe7a2c4edb4408707a784,language,252,1
02d12db6a32fe7a2c4edb4408707a784,learning,161,2
02d12db6a32fe7a2c4edb4408707a784,word,158,3
02d12db6a32fe7a2c4edb4408707a784,words,145,4
02d12db6a32fe7a2c4edb4408707a784,data,116,5
02d12db6a32fe7a2c4edb4408707a784,information,114,6
02d12db6a32fe7a2c4edb4408707a784,semantic,110,7
02d12db6a32fe7a2c4edb4408707a784,model,98,8
02d12db6a32fe7a2c4edb4408707a784,processing,95,9
02d12db6a32fe7a2c4edb4408707a784,based,88,10
02e530307cc73582f3ae1cd677adafac,abstract,1,1
02f6111639ba0bcca0bc12c3a7a77e46,sensor,83,1
02f6111639ba0bcca0bc12c3a7a77e46,networks,63,2
02f6111639ba0bcca0bc12c3a7a77e46,wireless,47,3
02f6111639ba0bcca0bc12c3a7a77e46,network,43,4
02f6111639ba0bcca0bc12c3a7a77e46,data,28,5
02f6111639ba0bcca0bc12c3a7a77e46,application,27,6
02f6111639ba0bcca0bc12c3a7a77e46,transport,25,7
02f6111639ba0bcca0bc12c3a7a77e46,based,24,8
02f6111639ba0bcca0bc12c3a7a77e46,applications,23,9
02f6111639ba0bcca0bc12c3a7a77e46,mac,22,10
030c488d5c6c2704388b391972799b94,web,15,1
030c488d5c6c2704388b391972799b94,users,9,2
030c488d5c6c2704388b391972799b94,tags,9,3
030c488d5c6c2704388b391972799b94,social,9,4
030c488d5c6c2704388b391972799b94,resources,9,5
030c488d5c6c2704388b391972799b94,folksonomy,6,6
030c488d5c6c2704388b391972799b94,semantic,6,7
030c488d5c6c2704388b391972799b94,content,6,8
030c488d5c6c2704388b391972799b94,folksonomies,6,9
030c488d5c6c2704388b391972799b94,ranking,5,10
030e93c3f898e380f4581d96724779b6,motor,19,1
030e93c3f898e380f4581d96724779b6,fuel,16,2
030e93c3f898e380f4581d96724779b6,car,13,3
030e93c3f898e380f4581d96724779b6,control,12,4
030e93c3f898e380f4581d96724779b6,eye,10,5
030e93c3f898e380f4581d96724779b6,state,10,6
030e93c3f898e380f4581d96724779b6,behaviour,10,7
030e93c3f898e380f4581d96724779b6,prediction,10,8
030e93c3f898e380f4581d96724779b6,simulation,9,9
030e93c3f898e380f4581d96724779b6,environment,9,10
031000ae3d6d525f2ad8624f6585de8b,analysis,24,1
031000ae3d6d525f2ad8624f6585de8b,usability,23,2
031000ae3d6d525f2ad8624f6585de8b,network,17,3
031000ae3d6d525f2ad8624f6585de8b,evaluation,16,4
031000ae3d6d525f2ad8624f6585de8b,social,14,5
031000ae3d6d525f2ad8624f6585de8b,web,13,6
031000ae3d6d525f2ad8624f6585de8b,design,12,7
031000ae3d6d525f2ad8624f6585de8b,digital,12,8
031000ae3d6d525f2ad8624f6585de8b,users,11,9
031000ae3d6d525f2ad8624f6585de8b,data,10,10
031361fadf46c85cdfb14d717bf5ab8c,framework,9,1
031361fadf46c85cdfb14d717bf5ab8c,maintenance,7,2
031361fadf46c85cdfb14d717bf5ab8c,energy,6,3
031361fadf46c85cdfb14d717bf5ab8c,paper,5,4
031361fadf46c85cdfb14d717bf5ab8c,decision,4,5
031361fadf46c85cdfb14d717bf5ab8c,enterprise,4,6
031361fadf46c85cdfb14d717bf5ab8c,predictive,4,7
031361fadf46c85cdfb14d717bf5ab8c,conservation,3,8
031361fadf46c85cdfb14d717bf5ab8c,cost,3,9
031361fadf46c85cdfb14d717bf5ab8c,wsns,3,10
032552f678311814fadbda8e937ae0fc,evolution,39,1
032552f678311814fadbda8e937ae0fc,selection,36,2
032552f678311814fadbda8e937ae0fc,introns,31,3
